host_id,host_name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_has_profile_pic,host_identity_verified
8028,Sylvia,16-02-2009,"Austin, Texas, United States",within an hour,100,94,TRUE,East Downtown,1,TRUE,TRUE
8186,Elizabeth,19-02-2009,"Austin, Texas, United States",,,100,TRUE,SW Williamson Co.,1,TRUE,TRUE
13879,Todd,17-04-2009,"Austin, Texas, United States",within an hour,100,100,TRUE,Travis Heights,1,TRUE,TRUE
14156,Amy,20-04-2009,"Austin, Texas, United States",within an hour,100,98,TRUE,Zilker,2,TRUE,TRUE
25298,Karen,11-07-2009,"Austin, Texas, United States",within a day,83,29,FALSE,East Riverside,1,TRUE,FALSE
50793,Molly,02-11-2009,"Austin, Texas, United States",within an hour,100,95,TRUE,East Downtown,1,TRUE,TRUE
80406,Dani,11-02-2010,"Austin, Texas, United States",within an hour,100,99,TRUE,Travis Heights,10,TRUE,TRUE
84906,Stacey,24-02-2010,"Austin, Texas, United States",,,67,FALSE,,2,TRUE,TRUE
56488,David,22-11-2009,"Austin, Texas, United States",within an hour,100,100,TRUE,East Riverside,1,TRUE,TRUE
170787,Robbie,18-07-2010,"Austin, Texas, United States",within a few hours,100,67,FALSE,Northwest Hills,1,TRUE,FALSE
215917,Belinda,28-08-2010,"Austin, Texas, United States",within a few hours,100,89,TRUE,,1,TRUE,TRUE
12409,Flip,06-04-2009,"Austin, Texas, United States",within a few hours,100,78,FALSE,West Campus,2,TRUE,TRUE
272156,Lois,27-10-2010,"Austin, Texas, United States",within an hour,100,100,TRUE,Zilker,2,TRUE,TRUE
82762,Dolina,18-02-2010,"Austin, Texas, United States",within an hour,100,100,TRUE,Dawson,1,TRUE,TRUE
355348,Jason,20-01-2011,"Austin, Texas, United States",within a day,100,67,TRUE,Galindo,1,TRUE,TRUE
268988,Stephanie,23-10-2010,"Austin, Texas, United States",within an hour,100,92,TRUE,South Congress,2,TRUE,TRUE
378744,Ellen And Andy,05-02-2011,"Austin, Texas, United States",within an hour,100,100,TRUE,Rosedale,1,TRUE,TRUE
128514,Vivian,20-05-2010,"Austin, Texas, United States",within an hour,100,94,TRUE,Angus Valley,1,TRUE,TRUE
382510,Christina,08-02-2011,US,within an hour,100,80,TRUE,West Campus,2,TRUE,TRUE
387918,Amy & Justin,11-02-2011,"Austin, Texas, United States",within an hour,100,72,FALSE,South Lamar,3,TRUE,FALSE
404260,Kelly,22-02-2011,"Austin, Texas, United States",within an hour,100,84,TRUE,Tarrytown,2,TRUE,TRUE
177441,Ash,22-07-2010,"Austin, Texas, United States",within an hour,100,92,FALSE,West Austin,2,TRUE,TRUE
408534,Kevin And Bob,24-02-2011,"Austin, Texas, United States",within an hour,100,96,TRUE,Upper Boggy Creek,1,TRUE,TRUE
394012,Cole,15-02-2011,"Austin, Texas, United States",within an hour,100,100,TRUE,East Downtown,1,TRUE,TRUE
411190,Lynn,26-02-2011,"Austin, Texas, United States",,,,FALSE,Holly,1,TRUE,TRUE
1665428,Krista,28-01-2012,"Austin, Texas, United States",within an hour,100,86,FALSE,Travis Heights,1,TRUE,TRUE
382265,Leslie,08-02-2011,"Austin, Texas, United States",,,0,FALSE,,2,TRUE,TRUE
416628,Carlos,01-03-2011,"Austin, Texas, United States",within a few hours,100,74,TRUE,Zilker,2,TRUE,TRUE
419192,Keith And Shannon,02-03-2011,"Austin, Texas, United States",,,0,TRUE,Zilker,2,TRUE,TRUE
419707,Julia,02-03-2011,"Austin, Texas, United States",,,,FALSE,Downtown,3,TRUE,TRUE
421002,E. Dixie,03-03-2011,"Austin, Texas, United States",within a day,100,70,TRUE,MLK & 183,1,TRUE,TRUE
